"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_nbr2_sem_visitid","String","60","Recommended","Visit name","","","tfmri_nback_run2_sem_visitid"
"tfmri_nbr2_sem_tr","Float","","Recommended","Pulse repetition time in seconds","","","tfmri_nback_run2_sem_tr"
"tfmri_nbr2_sem_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_nback_run2_sem_num.trs,tfmri_nback_run2_sem_numtrs"
"tfmri_nbr2_sem_dof","Integer","","Recommended","Degrees of freedom","","","tfmri_nback_run2_sem_dof"
"tfmri_nbr2_sem_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","","tfmri_nback_run2_sem_nvols"
"tfmri_nbr2_sem_stnvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_nback_run2_sem_subthresh.nvols,tfmri_nback_run2_sem_subthreshnvols"
"tfmri_nbr2_sem_mmm","Float","","Recommended","Average framewise displacement in mm","","","tfmri_nback_run2_sem_mean.motion,tfmri_nback_run2_sem_meanmotion"
"tfmri_nbr2_sem_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_nback_run2_sem_max.motion,tfmri_nback_run2_sem_maxmotion"
"tfmri_nbr2_sem_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_nback_run2_sem_mean.trans,tfmri_nback_run2_sem_meantrans"
"tfmri_nbr2_sem_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_nback_run2_sem_max.trans,tfmri_nback_run2_sem_maxtrans"
"tfmri_nbr2_sem_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_nback_run2_sem_mean.rot,tfmri_nback_run2_sem_meanrot"
"tfmri_nbr2_sem_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_nback_run2_sem_max.rot,tfmri_nback_run2_sem_maxrot"
"tfmrinbr2oscscbwmlh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-cerebral-white-matter","","","tfmri_nback_run2_0.back_sem_subcort.aseg_cerebral.white.matter.lh,tfmri_nback_run2_0back_sem_subcortaseg_cerebralwhitematterlh"
"tfmrinbr2oscslvtlh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-lateral-ventricle","","","tfmri_nback_run2_0.back_sem_subcort.aseg_lateral.ventricle.lh,tfmri_nback_run2_0back_sem_subcortaseg_lateralventriclelh"
"tfmrinbr2oscsinfvtlh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-inf-lat-vent","","","tfmri_nback_run2_0.back_sem_subcort.aseg_inf.lat.vent.lh,tfmri_nback_run2_0back_sem_subcortaseg_inflatventlh"
"tfmrinbr2oscscrbwmlh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-cerebellum-white-matter","","","tfmri_nback_run2_0.back_sem_subcort.aseg_cerebellum.white.matter.lh,tfmri_nback_run2_0back_sem_subcortaseg_cerebellumwhitematterlh"
"tfmrinbr2oscscrbcxlh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-cerebellum-cortex","","","tfmri_nback_run2_0.back_sem_subcort.aseg_cerebellum.cortex.lh,tfmri_nback_run2_0back_sem_subcortaseg_cerebellumcortexlh"
"tfmrinbr2oscstplh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-thalamus-proper","","","tfmri_nback_run2_0.back_sem_subcort.aseg_thalamus.proper.lh,tfmri_nback_run2_0back_sem_subcortaseg_thalamusproperlh"
"tfmrinbr2oscscdelh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-caudate","","","tfmri_nback_run2_0.back_sem_subcort.aseg_caudate.lh,tfmri_nback_run2_0back_sem_subcortaseg_caudatelh"
"tfmrinbr2oscspulh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-putamen","","","tfmri_nback_run2_0.back_sem_subcort.aseg_putamen.lh,tfmri_nback_run2_0back_sem_subcortaseg_putamenlh"
"tfmrinbr2oscspalh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-pallidum","","","tfmri_nback_run2_0.back_sem_subcort.aseg_pallidum.lh,tfmri_nback_run2_0back_sem_subcortaseg_pallidumlh"
"tfmrinbr2oscs3rdvt","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI 3rd-ventricle","","","tfmri_nback_run2_0.back_sem_subcort.aseg_3rd.ventricle,tfmri_nback_run2_0back_sem_subcortaseg_3rdventricle"
"tfmrinbr2oscs4thvt","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI 4th-ventricle","","","tfmri_nback_run2_0.back_sem_subcort.aseg_4th.ventricle,tfmri_nback_run2_0back_sem_subcortaseg_4thventricle"
"tfmrinbr2oscsbs","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI brain-stem","","","tfmri_nback_run2_0.back_sem_subcort.aseg_brain.stem,tfmri_nback_run2_0back_sem_subcortaseg_brainstem"
"tfmrinbr2oscshpuslh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-hippocampus","","","tfmri_nback_run2_0.back_sem_subcort.aseg_hippocampus.lh,tfmri_nback_run2_0back_sem_subcortaseg_hippocampuslh"
"tfmrinbr2oscsaylh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-amygdala","","","tfmri_nback_run2_0.back_sem_subcort.aseg_amygdala.lh,tfmri_nback_run2_0back_sem_subcortaseg_amygdalalh"
"tfmrinbr2oscscsf","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI csf","","","tfmri_nback_run2_0.back_sem_subcort.aseg_csf,tfmri_nback_run2_0back_sem_subcortaseg_csf"
"tfmrinbr2oscsaalh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-accumbens-area","","","tfmri_nback_run2_0.back_sem_subcort.aseg_accumbens.area.lh,tfmri_nback_run2_0back_sem_subcortaseg_accumbensarealh"
"tfmrinbr2oscsvtrdclh","Float","","Recommended","Standard error of the mean for nBack run 2 0 back condition in ASEG ROI left-ventraldc","","","tfmri_nback_run2_0.back_sem_subcort.aseg_ventraldc.lh,tfmri_nback_run2_0back_sem_subcortaseg_ventraldclh"
