"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"mnbs_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1= RA-Administered; 2= Youth Self-Administered; 3= Combination",""
"mnbs_bad","Integer","","Recommended","Care if you did bad things, like shoplifting?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_doing","Integer","","Recommended","Want to know what you were doing if you were not at home?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_friend","Integer","","Recommended","Take an interest in the kind of friends you had?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_homework","Integer","","Recommended","Help you with your homework?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_play","Integer","","Recommended","Make sure you had somewhere safe to play?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_school","Integer","","Recommended","Make sure you always went to school?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_trouble","Integer","","Recommended","Care if you got into trouble at school?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
"mnbs_understand","Integer","","Recommended","Help you when you had trouble understanding something?","0::3;777","0= Never; 1= Almost Never; 2= Sometimes; 3= A lot; 777= refuse to answer",""
