"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","sex"
"eventname","String","60","Recommended","The event name for which the data was collected","","","event-name,event_name"
"cv_p_select_language___1","Integer","","Recommended","Espanol? (asking if the assessment should be given in Spanish)","0;1","0 = No; 1 = Yes/Si","cv_p_select_language"
"ext_fam_diag_cv","Integer","","Recommended","Number of extended family member(s) and/or close friends diagnosed with coronavirus:","0::10","10 = 10 or more([event_name] = 'covid19_cv2_arm_2' or [event_name] = 'covid19_cv4_arm_2')",""
"ext_fam_severity_cv","Integer","","Recommended","Rate the symptoms of the person who was most sick:","1::4","1 = Mild: Symptoms effectively managed at home.Leve:  ; 2 = Moderate: Symptoms severe and required brief hospitalization; 3 = Severe: Symptoms severe and required ventilation ; 4 = Extended family member and/or close friend died of coronavirus[ext_fam_diag_cv]more than 0 and ([event_name] = 'covid19_cv2_arm_2' or [event_name] = 'covid19_cv4_arm_2')",""
"fam_actions_cv___1","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  1 Engaged in social distancing","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___2","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  2 Avoided gatherings of 250 people or more","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___3","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  3 Avoided gatherings of 10 people or more","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___4","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  4 Avoided visiting family and friends outside our own immediate family","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___5","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  5 Avoided having people in our home  except for a immediate family","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___6","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  6 Avoided restaurant dining","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___7","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  7 Avoided restaurant take-out","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___8","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  8 Avoided grocery store or pharmacies","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___9","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  9 Avoided stores (not including grocery stores or a pharmacies","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___10","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):   10 Avoided routine doctor visits","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___11","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  11 Avoided places like gyms  malls  movie theatres","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___12","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  12 Avoided taking public transportation","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___13","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  13 Avoided parks or playgrounds","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___14","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  15  Wore a mask","1;0","1 =  Yes ; 0 =  No",""
"fam_actions_cv___15","Integer","","Recommended","In the  past week  our family has (check all that apply; by  your choice rather than because it's closed):  4 None of the above","1;0","1 =  Yes ; 0 =  No",""
"fam_discord_cv","Integer","","Recommended","Please rate how much the coronavirus pandemic has changed your family's life in each of the following ways. Stress and discord in the family:","0::3","0 = None: Family members are showing no or very little signs of irritation or being short-tempered with one another  ;1 = Mild: Family members occasionally irritable or short-tempered with one another, may occasionally shout at one another  ;2 = Moderate: Family members frequently irritable and short-tempered with one another; and/or children in the home are throwing things, knocking over furniture, or showing signs of moderate stress  ;3 = Severe: Family members are constantly irritable and short-tempered with one another, shouting frequently; children and adults in the home throwing things at one another, and/or knocking over furniture, or showing signs of severe stress",""
"fam_exp_racism_cv","Integer","","Recommended","I am worried that our family will experience racism or discrimination in relation to coronavirus","1::5","1 = Strongly Disagree; 2 = Disagree ; 3 = Neither Disagree or Agree ; 4 = Agree; 5 = Strongly Agree[event_name] = 'covid19_cv1_arm_2' or [event_name] = 'covid19_cv3_arm_2'",""
"fam_exp1_cv","Integer","","Recommended","Were you ever worried about whether your food would run out before you could get more?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_exp2_cv","Integer","","Recommended","Needed food but couldn't afford to buy it or couldn't afford to get out to get it?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_exp3_cv","Integer","","Recommended","Were without telephone service because you could not afford it?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_exp4_cv","Integer","","Recommended","Didn't pay the full amount of the rent or mortgage because you could not afford it?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_exp5_cv","Integer","","Recommended","Were evicted from your home for not paying the rent or mortgage?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_exp6_cv","Integer","","Recommended","Had services turned off by the gas or electric company  or the oil company wouldn't deliver oil because payments were not made?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_exp7_v2_cv","Integer","","Recommended","If you lost all your current source(s) of household income (your paycheck  public assistance  or other forms of income)  how long could you continue to live at your current address and standard of living?","1::5","1 = Less than 1  month; 2 = 1 to 2  months ; 3 = 3 to 6 months; 4 = 7 to 12 months ; 5 = More than 1 year",""
"fam_expose_cv","Integer","","Recommended","Was anyone in your household at increased risk for COVID-19 due to work in healthcare or other essential jobs (such as grocery store  factory  gig economy) or use of public transit?","1;2;777","1 = No ; 2 = Yes ; 777 = Refuse to answer",""
"fam_hc_acc_cv","Integer","","Recommended","Please rate how much the coronavirus pandemic has changed your family's life in each of the following ways.Medical health care access:","0::3","0 = No change ; 1 = Mild: Appointments moved to telehealth ; 2 = Moderate: Delays or cancellations in appointments and/or delays in getting prescriptions; changes have minimal impact on health; 3 = Severe: Unable to access needed care([event_name] = 'covid19_cv2_arm_2' or [event_name] = 'covid19_cv4_arm_2')",""
