"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"accult_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","accult_phenx_select_language_p"
"accult_p_intro","String","30","Recommended","","The next set of questions are about what languages you know and how often you speak them with friends and family. La siguiente serie de preguntas se refieren a los idiomas que usted conoce y la frecuencia con la cual usted habla en esos idiomas con amigos y familiares.","","Descriptive field","accult_phenx_intro_p"
"accult_q1_p","Integer","","Recommended","","How well do you speak English? ¿Qué tan bien habla usted el inglés?","1 ::4 ; 777;999","1=Poor/Mal; 2=Fair/Regular; 3=Good/Bien; 4=Excellent/Excelente; 999=Don't know/No se; 777=Refused/Niego contestar
","accult_phenx_q1_p"
"accult_q2_p","Integer","","Recommended","","Besides English, do you speak or understand another language or dialect? Â¿AdemÃ¡s del inglÃ©s, habla o entiende otro idioma o dialecto?","0;1","0=No; 1=Yes","accult_phenx_q2_p"
"accult_q3_dropdwn_p","Integer","","Recommended"," accult_q2_p   ==1","What other language or dialect do you speak or understand (besides English)? ¿Cuál es el dialecto o idioma que mejor habla o entiende (además del inglés)?","1::57","1 = American Sign Language (ASL); 2 = Arabic; 3 = Arawak; 4 = Bangla; 5 = Bosnian; 6 = Cantonese; 7 = Cham; 8 = An American Indian or Alaska Native language; 9 = Creole; 10 = Croatian; 11 = Dutch; 12 = Filipino; 13 = Finnish; 14 = Flemish; 15 = French; 16 = Frisian; 17 = Gaelic; 18 = Garifuna; 19 = German; 20 = Greek; 21 = Hakka; 22 = Hebrew; 23 = Hindi; 24 = Hokkien; 25 = Hungarian; 26 = Italian; 27 = Japanese; 28 = Jarai; 29 = Khmer; 30 = Korean; 31 = Kuy; 32 = Luganda; 33 = Mandarin; 34 = Nepali; 35 = Papiamento; 36 = Patois; 37 = Persian; 38 = Polish; 39 = Portuguese; 40 = Punjabi; 41 = Romanian; 42 = Russian; 43 = Samoan; 44 = Serbian; 45 = Sinhala; 46 = Sourashtra; 47 = Spanish (Español); 48 = Stieng; 49 = Swahili; 50 = Tagalog; 51 = Tamil; 52 = Telugu; 53 = Thai; 54 = Turkish; 55 = Urdu; 56 = Vietnamese; 57 = Other","accult_phenx_q3_dropdwn_p"
"accult_q3_other_p","String","30","Recommended"," accult_q3_dropdwn_p   == 57","What other language or dialect do you speak or understand (besides English)?  ¿Cuál es el dialecto o idioma que mejor habla o entiende (además del inglés)?","","","accult_phenx_q3_other_p"
"accult_q4_p","Integer","","Recommended"," accult_q2_p   == 1","What language do you speak with most of your friends? ¿En qué idioma habla con la mayoría de sus amistades?","1 ; 2 ; 3 ; 4 ; 5 ; 777 ; 999","1 = (Other language) all the time (Otro idioma) todo el tiempo; 2 = (Other language) most of the time (Otro idioma) la mayor parte del tiempo; 3 = (Other language) and English equally (Otro idioma) e inglés igualmente; 4 = English most of the time Inglés la mayor parte del tiempo; 5 = English all the time Inglés todo el tiempo; 777 = Refused Niego contestar; 999 = Don't Know No se","accult_phenx_q4_p"
"accult_q5_p","Integer","","Recommended"," accult_q2_p   == 1","What language do you speak with most of your family? ¿En qué idioma habla con la mayoría de su familia?","1 ; 2 ; 3 ; 4 ; 5 ; 777 ; 999","1 = (Other language) all the time (Otro idioma) todo el tiempo; 2 = (Other language) most of the time (Otro idioma) la mayor parte del tiempo; 3 = (Other language) and English equally (Otro idioma) e inglés igualmente; 4 = English most of the time Inglés la mayor parte del tiempo; 5 = English all the time Inglés todo el tiempo; 777 = Refused Niego contestar; 999 = Don't Know No se","accult_phenx_q5_p"
"accult_q3b_p","Integer","","Recommended"," accult_q2_p == 1 && event_name_number!= 11","How well do you speak [accult_q3_dropdwn_p]?   ?Qu? tan bien habla usted el [accult_q3_dropdwn_p]?","1 ; 2 ; 3 ; 4 ; 5 ; 777 ; 999","1 =  Poor / Mal ; 2  = Fair/  Regular ; 3 =  Good / Bien ; 4 =  Excellent/  Excelente ; 999  = Don't Know / No se  ; 777 =  Refused / Niego contestar ","accult_phenx_q3b_p"
