"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"asr_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","asr_select_language_p"
"asr_q01_p","Integer","","Recommended","","I am too forgetful Soy demasiado olvidadizo(a)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q02_p","Integer","","Recommended","","I make good use of my opportunities Aprovecho bien mis oportunidades","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q03_p","Integer","","Recommended","","I argue a lot Discuto mucho","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q04_p","Integer","","Recommended","","I work up to my ability Trabajo a mi máxima capacidad","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q05_p","Integer","","Recommended","","I blame others for my problems Culpo a otros por mis problemas","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q06_p","Integer","","Recommended","","I use drugs (other than alcohol, nicotine) for nonmedical purposes Uso drogas sin motivo  médico (no incluya  alcohol o tabaco)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q07_p","Integer","","Recommended","","I brag Soy engreído o presumido(a)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q08_p","Integer","","Recommended","","I have trouble concentrating or paying attention for long No puedo concentrarme o prestar atención por mucho tiempo","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q09_p","Integer","","Recommended","","I can't get my mind off certain thoughts No puedo sacarme de la mente ciertos pensamientos, obsesiones","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q10_p","Integer","","Recommended","","I have trouble sitting still No puedo quedarme quieto(a); soy inquieto (a) o hiperactivo (a)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q11_p","Integer","","Recommended","","I am too dependent on others Dependo demasiado de otros","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q12_p","Integer","","Recommended","","I feel lonely Me siento solo(a)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q13_p","Integer","","Recommended","","I feel confused or in a fog Me siento confundido(a)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q14_p","Integer","","Recommended","","I cry a lot Lloro mucho","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q15_p","Integer","","Recommended","","I am pretty honest Soy muy honesto(a)","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
"asr_q16_p","Integer","","Recommended","","I am mean to others Soy malo(a) con los demás","0 ; 1 ; 2","0 = Not True No es cierto; 1 = Somewhat/Sometimes True En cierta manera; 2 = Very True/Often True Muy cierto o cierto a menudo//Below is a list of items that describe people. For each item, select the response that describes YOURSELF (YOU, THE PARENT) over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to YOU",""
