"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_phobia_raw_258_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applySeeing blood","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_244_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applyAnimals","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_245_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applyElevators","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_246_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applyBridges","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_247_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applyFlying","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_248_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applySeeing blood","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_249_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applyReceiving an injection","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_251_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyThe dark","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_252_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applySpiders","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_253_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyHeights","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_254_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyAnimals","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_255_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyElevators","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_256_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyBridges","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_257_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyFlying","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_243_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applyHeights","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_259_p","Integer","","Recommended","Was there ever another time in the past when your child was deathly afraid of any of the things below? Mark all that applyReceiving an injection","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_260_p","Integer","","Recommended","Back then, did your child usually avoid or tried to avoid the dark, spiders, heights, animals, elevators, bridges, flying, seeing blood and receiving an injection, or if he or she couldn't avoid it, endured it with great distress?","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_262_p","Integer","","Recommended","Back then, did your child's fear of these things cause problems for him or her in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_263_p","Integer","","Recommended","Back then, did your child's fear of these things cause problems for him or her in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_264_p","Integer","","Recommended","Back then, did your child's fear of these things cause problems for him or her in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_265_p","Integer","","Recommended","Back then, did your child's fear of these things cause problems for him or her in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_266_p","Integer","","Recommended","Back then, did your child's fear of these things cause problems for him or her in any of the following areas:In after school activities","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_267_p","Integer","","Recommended","Back then, did your child's fear of these things cause problems for him or her in any of the following areas:In other places or times","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_268_p","Integer","","Recommended","How much discomfort or distress did your child's fear of these things cause him or her back then?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_phobia_raw_269_p","String","60","Recommended","When in the past did your child have these fears?","","",""
"ksads_phobia_raw_270_p","String","60","Recommended","Back then, how long did these fears last? Please enter weeks, months, or years.","","",""
"ksads_phobia_raw_2103_p","String","60","Recommended","That was the last question. Thank you for completing this interview.","","",""
"ksads_phobia_raw_242_p","Integer","","Recommended","Was there ever a time in the past when your child was deathly afraid of any of the things below? Mark all that applySpiders","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_220_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:The dark","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_221_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Spiders","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_222_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Heights","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_223_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Animals","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_224_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Elevators","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_225_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Bridges","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_226_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Flying","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_227_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Seeing blood","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_228_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Receiving an injection","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_229_p","Integer","","Recommended","Mark below the things your child feels deathly afraid of and that always or almost always make your child super anxious:Other (if Yes specify)","0;1","0=No; 1=Yes",""
"ksads_phobia_raw_230_p","Integer","","Recommended","Over the past two weeks, how often has your child avoided or tried to avoid flying or receiving an injection?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_phobia_raw_232_p","Integer","","Recommended","Does your child's fear of these things cause problems for him or her in any of the following areas:With friends","0;1","0=No; 1=Yes",""
