"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"sai_read_hrs_wk_y","Integer","","Recommended","About how many hours per WEEK do you read on your own in your free time? (including online blogs, news, fiction, and non-fiction books etc)","0::12;999","0=Less than 1 hour; 1=1 hours or more but less than 2 hours ; 2=2 hours or more but less than 3 hours ; 3=3 hours or more but less than 4 hours ; 4=4 hours or more but less than 5 hours ; 5=5 hours or more but less than 6 hours ; 6=6 hours or more but less than 8 hours ; 7=8 hours or more but less than 12 hours ; 8=12 hours or more but less than 18 hours; 9=18 hours or more but less than 24 hours ; 10=24 hours or more but less than 36 hours ; 11=36 hours or more but less than 72 hours ; 12=More than 72 hours ; 999=Don't know",""
"sai_readmusic_admin_y","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination",""
"sai_lmusic_y","Integer","","Recommended","Do you enjoy listening to music?","0;1","1=Yes ; 0=No",""
"sai_lmusic_feel_y","Integer","","Recommended","Do you listen to music to change the way you feel?","0::3","0=Never ; 1=Sometimes ; 2=Usually ; 3=Always",""
"sai_lmusic_hrs_day_y","Integer","","Recommended","About how many hours per DAY do you listen to music?","0::8;999","0=less than 1 hour ; 1=1 hour or more but less than 2 hours ; 2=2 hours or more but less than 3 hours ; 3=3 hours or more but less than 4 hours ; 4=4 hours or more but less than 5 hours ; 5=5 hours or more but less than 6 hours ; 6=6 hours or more but less than 7 hours ; 7=7 hours or more but less than 8 hours ; 8=More than 8 hours ; 999=Don't Know",""
"sai_lmusic_studying_y","Integer","","Recommended","Do you listen to music while you're studying?","0::3","0=Never ; 1=Sometimes ; 2=Usually ; 3=Always",""
"sai_read_y","Integer","","Recommended","Do you read in your free time? (including online blogs, news, fiction, and non-fiction books etc...)","0;1","1=Yes ; 0=No",""
"sai_read_enjoy_y","Integer","","Recommended","Do you enjoy reading?","0;1;999","1=Yes ; 0=No ; 999=Don't know",""
