"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_suicidal_raw_1123_t","Integer","","Recommended","You mentioned that in the past, you wished you were dead or thought you would be better off dead. Back then, did you make any preparations for killing yourself?","0::8","1=Bought or stored pills; 2=Obtained a knife; 3=Obtained a gun; 4=Obtained a rope; 5=Gave away my things; 6=Wrote a suicide note; 7=Researched methods on internet; 8=Other (type in); 0=None; I have not made any preparations",""
"ksads_suicidal_raw_1110_t","Integer","","Recommended","You mentioned earlier that in the past two weeks you had thoughts that you wished that you were dead. Have you made any preparations for killing yourself?","0::8","1=Bought or stored pills; 2=Obtained a knife; 3=Obtained a gun; 4=Obtained a rope; 5=Gave away my things; 6=Wrote a suicide note; 7=Researched methods on internet; 8=Other (type in); 0=None; I have not made any preparations",""
"ksads_suicidal_raw_1111_t","Integer","","Recommended","Have you made any preparations for killing yourself?","0::8","1=Bought or stored pills; 2=Obtained a knife; 3=Obtained a gun; 4=Obtained a rope; 5=Gave away my things; 6=Wrote a suicide note; 7=Researched methods on internet; 8=Other (type in); 0=None; I have not made any preparations",""
"ksads_suicidal_raw_1112_t","Integer","","Recommended","In the past two weeks did you start to do something to end your life, but either stopped yourself or were interrupted by someone else (for example, you were about to take pills or had a gun ready, or were about to jump or hang yourself, but either stopped yourself or were stopped by someone else)?","1::3","1=Yes, but I stopped myself; 3=Yes, but I was stopped by someone else; 2=No, I did not start an attempt",""
"ksads_suicidal_raw_1113_t","Integer","","Recommended","You mentioned that in the past two weeks you had made a suicide attempt. What did you do?","1::6","1=Took pills; 2=With a gun; 3=By hanging; 4=By jumping; 5=By cutting; 6=Other (type in)",""
"ksads_suicidal_raw_1114_t","Integer","","Recommended","Did you think that you had at least some chance of dying as a result?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1115_t","Integer","","Recommended","You mentioned that in the past, you did some things to hurt yourself, like scratching, cutting, or burning yourself. Were you trying to kill yourself when you did these things?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1116_t","Integer","","Recommended","Did you think that you had at least some chance that you would die as a result of what you did?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1119_t","Integer","","Recommended","Did you think about how you would do it (even if you had no intention of actually doing it)?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1120_t","Integer","","Recommended","Back then, at any point did you have some intention on acting on these thoughts, even if you weren't 100% sure you would do it?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1121_t","Integer","","Recommended","Did you think through the details of exactly how you would do it, for instance, decide on a specific place or time?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1122_t","Integer","","Recommended","Back then, did you make any preparations for killing yourself?","0::8","0=None; I have not made any preparations; 1=Bought or stored pills; 2=Obtained a knife; 3=Obtained a gun; 4=Obtained a rope; 5=Gave away my things; 6=Wrote a suicide note; 7=Researched methods on internet; 8=Other (type in); 0=None; I have not made any preparations",""
"ksads_suicidal_raw_1109_t","Integer","","Recommended","In the past two weeks, did you think through the details of how you would do it, for instance, decide on a specific method, place, or time?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_1124_t","Integer","","Recommended","Back then, did you start to do something to end your life, but either stopped yourself or were interrupted by someone else (for example, you were about to take pills or had a gun ready, or were about to jump or hang yourself, but either stopped yourself or were stopped by someone else)?","1::3","1=Yes, but I stopped myself; 3=Yes, but I was stopped by someone else; 2=No, I did not start an attempt",""
"ksads_suicidal_raw_1127_t","Integer","","Recommended","Did you think that you had at least some chance of dying as a result?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_822_t","String","60","Recommended","When was that?","","",""
"ksads_suicidal_raw_826_t","String","60","Recommended","When was that?","","",""
"ksads_suicidal_raw_831_t","String","60","Recommended","I appreciate you telling me that. I will ask you more about that later.","","",""
"ksads_suicidal_raw_834_t","String","60","Recommended","I appreciate you telling me that. I will ask you more about that later.","","",""
"ksads_suicidal_raw_1117_t","String","60","Recommended","Please tell me when this happened and what you did.","","",""
"ksads_suicidal_raw_1118_t","String","60","Recommended","You mentioned in the past you thought about actually wanting to kill yourself. When was that?","","",""
"ksads_suicidal_raw_1125_t","String","60","Recommended","You mentioned that there was a time in the past when you made a suicide attempt. How many times in the past have you tried to kill yourself?","","",""
"ksads_suicidal_raw_1126_t","String","60","Recommended","Please tell me when this happened and what you did.","","",""
"ksads_suicidal_raw_1108_t","Integer","","Recommended","At any point in the past two weeks did you have some intention on acting on these thoughts, even if you weren't 100% sure you would do it?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_819_t","Integer","","Recommended","Sometimes when kids get upset or feel numb, they may do things to hurt themselves, like scratching, cutting, or burning themselves. In the past two weeks, how often have you done any of these things or other things to try to hurt yourself?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_suicidal_raw_820_t","Integer","","Recommended","Was there ever a time in the past when you did things to hurt yourself on purpose because you were upset, like cut, scratch or burn yourself?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_821_t","Integer","","Recommended","Was there ever another time in the past when you did things to hurt yourself on purpose, like cut, scratch or burn yourself?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_823_t","Integer","","Recommended","In the past two weeks, how often have you wished you were dead or had thoughts that you would be better off dead?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_suicidal_raw_824_t","Integer","","Recommended","Was there ever a time in the past when you often wished you were dead or thought you would be better off dead?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_825_t","Integer","","Recommended","Was there ever another time in the past when you often wished you were dead or thought you would be better off dead?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_827_t","Integer","","Recommended","In the past two weeks, how often did you think seriously about wanting to kill yourself?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_suicidal_raw_828_t","Integer","","Recommended","Was there ever a time when you thought about wanting to kill yourself?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_829_t","Integer","","Recommended","Was there ever another time when you thought about wanting to kill yourself?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_830_t","Integer","","Recommended","In the past two weeks, did you make a suicide attempt and do something to try to kill yourself?","0;1","0=No; 1=Yes",""
"ksads_suicidal_raw_832_t","Integer","","Recommended","Was there ever a time when you did something to try to kill yourself and actually made a suicide attempt?","0;1","0=No; 1=Yes",""
