"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_td_raw_549_p","Integer","","Recommended","In the past two weeks, how often did your child make noises that he or she didn't want to make, repeated sounds or words that your child didn't want to say?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_td_raw_557_p","String","60","Recommended","You said that in the past your child often had unexpected tics or body movements, and repeatedly made sounds or said words that he or she couldn't control. When was that? If this was true of your child more than once, let me know when it was the worst.","","",""
"ksads_td_raw_556_p","String","60","Recommended","You said that in the past your child repeatedly made sounds or said words that he or she couldn't control. When was that? If this was true of your child more than once, let me know when it was the worst.","","",""
"ksads_td_raw_555_p","String","60","Recommended","You said that in the past your child often had unexpected tics or body movements. When was that? If this was true of your child more than once, let me know when it was the worst.","","",""
"ksads_td_raw_554_p","String","60","Recommended","You said that in the past two weeks your child often had unexpected tics or body movements, and repeatedly made sounds or said words that he or she couldn't control. When did this begin?","","",""
"ksads_td_raw_553_p","String","60","Recommended","You said that in the past two weeks your child repeatedly made sounds or said words that he or she couldn't control. When did this begin?","","",""
"ksads_td_raw_552_p","String","60","Recommended","You said that in the past two weeks your child often had unexpected tics or body movements. When did this begin?","","",""
"ksads_td_raw_551_p","Integer","","Recommended","Was there ever another time that your child repeatedly made sounds or said words that he or she couldn't control?","1::2","2=No; 1=Yes",""
"ksads_td_raw_550_p","Integer","","Recommended","Was there ever a time that your child repeatedly made sounds or said words that he or she couldn't control?","1::2","2=No; 1=Yes",""
"ksads_td_raw_548_p","Integer","","Recommended","Was there ever another time that your child often had unexpected tics or body movements?","1::2","2=No; 1=Yes",""
"ksads_td_raw_547_p","Integer","","Recommended","Was there ever a time that your child often had unexpected tics or body movements?","1::2","2=No; 1=Yes",""
"ksads_td_raw_546_p","Integer","","Recommended","In the past two weeks, how often did your child have tics like uncontrollable eye blinking, shoulder shrugging, head tilting, or other parts of your child's body move unexpectedly when he or she did not want it to?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
