"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"accult_q1_y","Integer","","Recommended","","How well do you speak English?","1 ; 2 ; 3 ; 4","1 = Poor; 2 = Fair; 3 = Good; 4 = Excellent","accult_phenx_q1"
"accult_q2_y","Integer","","Recommended","","Besides English, do you speak or understand another language or dialect?

 If child asks about languages learned in school, the RA should state:  That's OK, as long as it is a language or dialect that you speak or understand.","0::4; 777;999","1 = Poor Mal; 2 = Fair Regular; 3 = Good Bien; 4 = Excellent Excelente; 777 = Refused Niego contestar; 999 = Don't Know No se","accult_phenx_q2"
"accult_q3_dropdwn_y","Integer","","Recommended"," accult_q2_y   == '1'","What other language or dialect do you speak or understand (besides English)?","1::57","1 = American Sign Language (ASL); 2 = Arabic; 3 = Arawak; 4 = Bangla; 5 = Bosnian; 6 = Cantonese; 7 = Cham; 8 = An American Indian or Alaska Native language; 9 = Creole; 10 = Croatian; 11 = Dutch; 12 = Filipino; 13 = Finnish; 14 = Flemish; 15 = French; 16 = Frisian; 17 = Gaelic; 18 = Garifuna; 19 = German; 20 = Greek; 21 = Hakka; 22 = Hebrew; 23 = Hindi; 24 = Hokkien; 25 = Hungarian; 26 = Italian; 27 = Japanese; 28 = Jarai; 29 = Khmer; 30 = Korean; 31 = Kuy; 32 = Luganda; 33 = Mandarin; 34 = Nepali; 35 = Papiamento; 36 = Patois; 37 = Persian; 38 = Polish; 39 = Portuguese; 40 = Punjabi; 41 = Romanian; 42 = Russian; 43 = Samoan; 44 = Serbian; 45 = Sinhala; 46 = Sourashtra; 47 = Spanish (Español); 48 = Stieng; 49 = Swahili; 50 = Tagalog; 51 = Tamil; 52 = Telugu; 53 = Thai; 54 = Turkish; 55 = Urdu; 56 = Vietnamese; 57 = Other","accult_phenx_q3_dropdwn"
"accult_q3_other_y","String","200","Recommended"," accult_q3_dropdwn_y   == '57'","What ""other"" language do you speak or understand besides English?","","","accult_phenx_q3_other"
"accult_q4_y","Integer","","Recommended"," accult_q2_y   == '1'","What language do you speak with most of your friends?","1 ; 2 ; 3 ; 4 ; 5","1 = (Other language) all the time; 2 = (Other language) most of the time; 3 = (Other language) and English equally; 4 = English most of the time; 5 = English all the time","accult_phenx_q4"
"accult_q5_y","Integer","","Recommended"," accult_q2_y   == '1'","What language do you speak with most of your family?","1 ; 2 ; 3 ; 4 ; 5","1 = (Other language) all the time; 2 = (Other language) most of the time; 3 = (Other language) and English equally; 4 = English most of the time; 5 = English all the time","accult_phenx_q5"
"accult_q3b","Integer","","Recommended"," accult_q2_y == 1 && event_name_number != 11","How well do you speak [accult_q3_dropdwn_y]?","1 ; 2 ; 3 ; 4","1 = Poor; 2 = Fair; 3 = Good; 4 = Excellent","accult_phenx_q3b"
"accult_admin","Integer","","Recommended","","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
