"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"bal_test1_result_y","Integer","","Recommended","","Breathalyzer Test 1 Result:","1::11","3=Not applicable (not randomized) ; 1=Negative (.000) ; 2=Positive (.001 or above) ; 4=Participant unable to complete (tried 3 times) ; 5=Participant refused ; 7=Not collected - remote completion ; 8=Institution not authorized to collect samples due to COVID ; 9=Staff discomfort due to COVID ; 10=Exceed 15min of < 6ft distance from youth (COVID) ; 11=Not approved by ABCD for collection ; 6=Not collected (other)","biospec_alc_test1_result"
"bal1_dot_y","Date","","Recommended"," bal_test1_result_y   == 1 ||  bal_test1_result_y   == 2","Breathalyzer Test 1 Date Completed:","","","biospec_alc1_date"
"bal_test2_result_y","Integer","","Recommended"," bal_test1_result_y   == 2","Breathalyzer Test 2 Result:","1::6","1 = Negative (.000); 2 = Positive (.001 or above); 4 = Participant unable to complete (tried 3 times); 5 = Participant refused; 6 = Not collected (other)","biospec_alc_test2_result"
"bal2_dot_y","Date","","Recommended"," bal_test2_result_y   == 1 ||  bal_test2_result_y   == 2","Breathalyzer Test 2 Date Completed:","","","biospec_alc2_date"
"bal2_need","Integer","","Recommended","","Is BAL Test Day 2 needed for this participant?","0 ; 1","1 = Yes; 0 = No","biospec_alc2_need"
"bal2_test1_result_y","Integer","","Recommended"," bal2_need   == 1","Breathalyzer Test 1 Day 2 Result:","1::6","1 = Negative (.000); 2 = Positive (.001 or above); 4 = Participant unable to complete (tried 3 times); 5 = Participant refused; 6 = Not collected (other)","biospec_alc2_test1_result"
"bal21_dot_y","Date","","Recommended"," bal2_test1_result_y   == 1 ||  bal2_test1_result_y   == 2 &&  bal2_need   == 1","Breathalyzer Test1 Day 2 Date Completed:","","","biospec_alc21_date"
"bal2_test2_result_y","Integer","","Recommended"," bal2_test1_result_y   == 2 &&  bal2_need   == 1 &&  bal2_need   == 1","Breathalyzer Test 2 Day 2 Result:","1::6","1 = Negative (.000); 2 = Positive (.001 or above); 4 = Participant unable to complete (tried 3 times); 5 = Participant refused; 6 = Not collected (other)","biospec_alc2_test2_result"
"bal22_dot_y","Date","","Recommended"," bal2_test2_result_y   == 1 ||  bal2_test2_result_y   == 2 &&  bal2_need   == 1","Breathalyzer Test 2 Day 2 Date Completed:","","","biospec_alc22_date"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
