INDEX	COLUMN LABEL	DESCRIPTION	VARIABLE TYPE	CODING SPECIFICATION	MIN	MAX	ABIDE I INDEX	ABIDE I LABEL
1	SUB_ID	ABIDE II Unique ID Number	Numeric		28675	30151	1	SUB_ID
2	NDAR_GUID	National Database for Autism Research Global Unique Identifier	String				NA	NA
3	DX_GROUP	Diagnostic Group	Numeric	1=Autism; 2=Control	1	2	2	DX_GROUP
4	PDD_DSM_IV_TR	DSM-IV-TR PDD Category	Numeric	0=none; 1=Autism; 2=Aspergers; 3=PDD-NOS	0	3	3	DSM_IV_TR
5	ASD_DSM_5	DSM-5 ASD Category	Numeric	0=none; 1=ASD	0	1	NA	NA
6	AGE_AT_SCAN	Age at time of scan (years)	Numeric		5.13	64	4	AGE_AT_SCAN
7	SEX	Gender	Numeric	1=male; 2=female	1	2	5	SEX
8	HANDEDNESS_CATEGORY	Handedness Category	Numeric	1=right handed; 2=left handed; 3=mixed handed	1	3	6	HANDEDNESS_CATEGORY
9	HANDEDNESS_SCORES	Handedness Scores	Numeric	right handed: scores ≥ 50; left handed: scores ≤ -50; mixed handed: scores between -50 and 50	-100	100	7	HANDEDNESS_SCORES
10	FIQ	Full IQ Standard Score	Numeric	Differential Ability Scale (DAS)	73	143	8	FIQ
10	FIQ	Full IQ Standard Score	Numeric	Kaufman Brief Intellifence Test (KBIT-2)	85	141	8	FIQ
10	FIQ	Full IQ Standard Score	Numeric	Wechsler Adult Intelligence Scale (WAIS)	73	146	8	FIQ
10	FIQ	Full IQ Standard Score	Numeric	Wechsler Abbreviated Scale of Intelligence (WASI)	66	149	8	FIQ
10	FIQ	Full IQ Standard Score	Numeric	Wechsler Intelligence Scale of Children (WISC)	49	143	8	FIQ
10	FIQ	Full IQ Standard Score	Numeric	Wechsler Preschool and Primary Scale of Intelligence (WPPSI-III)	125	125	8	FIQ
11	VIQ	Verbal IQ Standard Score	Numeric	DAS	73	153	9	VIQ
11	VIQ	Verbal IQ Standard Score	Numeric	WAIS	84	136	9	VIQ
11	VIQ	Verbal IQ Standard Score	Numeric	WASI	66	156	9	VIQ
11	VIQ	Verbal IQ Standard Score	Numeric	WISC	45	148	9	VIQ
11	VIQ	Verbal IQ Standard Score	Numeric	WPPSI-III	109	120	9	VIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	DAS	74	145	10	PIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	Raven's Progressive Matrices (Raven)	66	135	10	PIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	Snijders-Oomen Nonverbal Intelligence (SON-R)	67	135	10	PIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	WAIS	64	149	10	PIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	WASI	53	147	10	PIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	WISC	61	147	10	PIQ
12	PIQ	Perfomance IQ Standard Score	Numeric	WPPSI-III	92	125	10	PIQ
13	FIQ_TEST_TYPE	IQ Test Used for Full Scale IQ	String	DAS; DAS-II; KBITS-2; WAIS-III; WAIS-IV; WAIS-IV-NL; WASI; WASI-II; WISC-III; WISC-IV; WISC-IV; WPPSI-III			11	FIQ_TEST_TYPE
14	VIQ_TEST_TYPE	IQ Test Used for Verbal IQ	String	DAS; DAS-II; WAIS-III; WAIS-IV; WAIS-IV-NL; WASI; WASI-II; WISC-III; WISC-IV; WISC-IV; WPPSI-III			12	VIQ_TEST_TYPE
15	PIQ_TEST_TYPE	IQ Test Used for Performance IQ	String	DAS; DAS-II; Raven; SON-R; WAIS-III; WAIS-IV; WAIS-V-NL; WASI; WASI-II; WISC-III; WISC-IV; WISC-V; WPPSI-III			13	PIQ_TEST_TYPE
16	ADI_R_SOCIAL_TOTAL_A	Autism Diagnsoitc Interview-Revised Reciprocal Social Interaction Subscore (A) Total	Numeric		0	30	14	ADI_R_SOCIAL_TOTAL_A
17	ADI_R_VERBAL_TOTAL_BV	Abnormalities in Communication Subscore Verbal B(V) Total	Numeric		0	25	15	ADI_R_VERBAL_TOTAL_BV
18	ADI_R_NONVERBAL_TOTAL_BV	Abnormalities in Communication Subscore Nonverbal B(NV) Total	Numeric		0	14	NA	NA
19	ADI_R_RRB_TOTAL_C	Restricted, Repetitive, and Sterestyped Patterns of Behavior (C) Total	Numeric		0	12	16	ADI_R_RRB_TOTAL_C
20	ADI_R_ONSET_TOTAL_D	Abnormality of Development Evident at or Before 36 Months (D) Total	Numeric		0	5	17	ADI_R_ONSET_TOTAL_D
21	ADI_R_RSRCH_RELIABLE	Was AD-R scored/administered by research reliable personnel?	Numeric	0=no; 1=yes	0	1	18	ADI_R_RSRCH_RELIABLE
22	ADOS_MODULE	Autism Diagnostic Observation Schedule Module	Numeric		1	4	19	ADOS_MODULE
23	ADOS_RSRCH_RELIABLE	Was ADOS scored/administered by research reliable personnel?	Numeric	0=no; 1=yes	0	1	24	ADOS_RSRCH_RELIABLE
24	ADOS_G_TOTAL	ADOS Generic or ADOS-2 Module 4 Total Score	Numeric		0	23	20	ADOS_TOTAL
25	ADOS_G_COMM	ADOS-G or ADOS-2 Module 4 Communication Total	Numeric		0	10	21	ADOS_COMM
26	ADOS_G_SOCIAL	ADOS-G or ADOS-2 Module 4 Reciprocal Social Interaction Total	Numeric		0	14	22	ADOS_SOCIAL
27	ADOS_G_STEREO_BEHAV	ADOS-G or ADOS-2 Module 4 Stereotyped Behaviors and Restricted Interest Total	Numeric		0	6	23	ADOS_STERO_BEHAV
